0.073, 95
0.087, 5.1e+2
0.10, 1.3e+2
0.11, 41
0.13, 1.8e+2
0.13, 9.1e+2
0.13, 6.3e+2
0.15, 2.3e+2
0.17, 39
0.18, 1.7e+2
0.20, 4.8e+2
0.21, 2.6e+2
0.24, 4.3e+2
0.41, 2.0e+3
0.41, 9.4e+2
0.57, 1.5e+3
0.64, 1.5e+3
