Sample Alpha Mass VelocityDispersion Radius
Pillai 0.39242407679558 285.07778930664 0.389887890625 0.46188649535179 
Pillai 0.16416296362877 1.3012420654297E+03 0.592616796875 0.45133149623871 
Pillai 1.0062627792358 147.13690185547 0.5109601953125 0.401516020298 
Pillai 0.19100123643875 1.0989288330078E+03 0.5969071875 0.43799442052841 
Pillai 0.25169783830643 321.86199951172 0.3287590625 0.42362144589424 
Pillai 0.25623780488968 133.77963256836 0.28909294921875 0.21055862307549 
Pillai 1.2718334197998 52.075290679932 0.5109601953125 0.17961052060127 
Pillai 3.2787687778473 25.139795303345 0.5754487109375 0.18315823376179 
Pillai 0.71808940172195 165.2043762207 0.7125496875 0.18114064633846 
Pillai 0.27952590584755 281.02700805664 0.5582694921875 0.18377958238125 
Pillai 0.67135643959045 60.155941009521 0.372477890625 0.17806442081928 
Pillai 1.0828256607056 21.548397064209 0.23997541015625 0.1758975237608 
Li 1.8419820070267 5.61567735672 0.4937978515625 0.029660873115063 
Li 0.71300411224365 12.167300224304 0.4047669921875 0.033898141235113 
Li 5.1193337440491 1.40391933918 0.28179810546875 0.040254041552544 
Li 21.448427200317 0.14039193093777 0.1120618359375 0.021186338737607 
Li 16.31169128418 0.23398655653 0.114206328125 0.027542239055037 
Li 3.5080716609955 2.80783867836 0.3709737890625 0.044491309672594 
Li 0.29351314902306 14.039193153381 0.24921232421875 0.031779505312443 
Li 3.3248794078827 1.87189245224 0.27070392578125 0.038135409355164 
Li 3.0168948173523 0.93594622612 0.14084143554688 0.031779505312443 
Li 2.6722419261932 4.2117581367493 0.41140546875 0.038135409355164 
Li 2.3020737171173 2.80783867836 0.27337943359375 0.042372677475214 
Li 0.30971369147301 7.48756980896 0.13557513671875 0.023304970934987 
Li 9.6918849945068 0.93594622612 0.4391144921875 0.031779505312443 
Li 0.99688398838043 12.167300224304 0.3927480859375 0.048728577792645 
Li 0.92832791805267 6.0836501121521 0.25952087890625 0.038135409355164 
Li 1.0077749490738 10.763381004333 0.3865213671875 0.038135409355164 
Li 1.2738525867462 3.74378490448 0.28607048828125 0.029660873115063 
Li 2.5203828811646 2.80783867836 0.381249375 0.029660873115063 
Li 1.0527662038803 5.61567735672 0.31164330078125 0.033898141235113 
Li 1.5201514959335 4.6797308921814 0.28436923828125 0.042372677475214 
Li 2.6116061210632 3.2758116722107 0.3475939453125 0.042372677475214 
Li 1.7314244508743 6.0836501121521 0.28351478515625 0.061440378427505 
Li 1.8101370334625 1.87189245224 0.14084143554688 0.038135409355164 
Li 5.0268421173096 1.87189245224 0.437453828125 0.031779505312443 
Li 3.5978438854218 6.0836501121521 0.4592173828125 0.067796282470226 
Li 1.0865640640259 15.911085128784 0.434671953125 0.055084478110075 
Li 9.342529296875 0.93594622612 0.3559429296875 0.038135409355164 
Li 0.72468572854996 9.3594617843628 0.2368375 0.057203114032745 
Li 3.2785878181458 6.0836501121521 0.5535463671875 0.042372677475214 
Li 2.2940208911896 2.80783867836 0.449167109375 0.021186338737607 
Lada 2.3393092155457 1.8700000047684 6.9062377929687E-03 0.10616882890463 
Lada 2.6878135204315 1.0900000333786 6.9062377929687E-03 0.071103900671005 
Lada 1.3229254484177 4.6900000572205 0.039340764160156 0.14448051154613 
Lada 1.4288431406021 3.6300001144409 0.039340764160156 0.1207792237401 
Lada 1.6580179929733 3.1400001049042 0.056988564453125 0.11590909212828 
Lada 2.012003660202 1.8700000047684 0.056988564453125 0.083766229450703 
Lada 0.9563854932785 9.2299995422363 0.071747446289063 0.18733766674995 
Lada 2.9472784996033 1.3600000143051 0.071747446289063 0.085064932703972 
Lada 1.8557691574097 3.2599999904633 0.0851333984375 0.12207791954279 
Lada 1.707030415535 2.789999961853 0.0851333984375 0.096103899180889 
Lada 4.0627999305725 1.0099999904633 0.0977123046875 0.078571431338787 
Lada 3.6738674640656 1.0800000429153 0.0977123046875 0.075974024832249 
Lada 1.0089367628098 9.7299995422363 0.12144009765625 0.168506488204 
Lada 3.9305918216705 1.4099999666214 0.12144009765625 0.095129869878292 
Lada 0.97171860933304 10.199999809265 0.12144009765625 0.17012986540794 
Lada 0.69582915306091 20.299999237061 0.13284463867187 0.22922077775002 
Lada 6.75981092453 0.77999997138977 0.14404060546875 0.080844156444073 
Lada 3.4709198474884 2.2799999713898 0.15507319335937 0.11461038887501 
Lada 2.3113059997559 3.5499999523163 0.15507319335937 0.11883117258549 
Lada 3.218859910965 2.6400001049042 0.165975 0.11623376607895 
Lada 2.4194297790527 4.6700000762939 0.165975 0.15454545617104 
Lada 4.2768878936768 1.6100000143051 0.17677017578125 0.088961042463779 
Lada 6.7224774360657 1.1000000238419 0.1874771875 0.090259738266468 
Lada 2.7279689311981 5.8600001335144 0.1981103125 0.18441557884216 
Lada 6.3746094703674 1.1399999856949 0.2191978515625 0.074999995529652 
Lada 2.8673512935638 6.710000038147 0.22966865234375 0.1879870146513 
Lada 11.539297103882 0.68999999761581 0.24009935546875 0.073701299726963 
Lada 10.225432395935 0.72000002861023 0.2504948828125 0.06461039185524 
Perseus 1.0184859037399 1.9827545881271 0.1794475390625 0.02419999986887 
Perseus 4.6862397193909 0.36319217085838 0.14938376953125 0.02419999986887 
Perseus 1.2292720079422 1.0895764827728 0.096956240234375 0.02419999986887 
Perseus 0.67538857460022 2.1789026260376 0.11728166015625 0.02419999986887 
Perseus 1.782755613327 0.70301097631454 0.081786518554688 0.02419999986887 
Perseus 3.6150279045105 0.350133061409 0.0962298046875 0.02419999986887 
